product,Construction,Mechanical Engineering,Automotive,Electrical,Other Transport,Tubes,Metal Goods,Other sectors
Hot rolled,0.209,0.154,0.164,0.022,0.017,0.282,0.125,0.027
Plate,0.317,0.284,0.017,0.004,0.099,0.168,0.087,0.024
Cold rolled,0.136,0.124,0.245,0.133,0.019,0.075,0.242,0.026
Hot dipped galvanised,0.262,0.053,0.463,0.036,0.016,0.043,0.105,0.022
Electro coated,0.086,0.028,0.629,0.069,0.052,0.005,0.110,0.021
Organic coated,0.708,0.058,0.047,0.087,0.005,0.000,0.064,0.031
Tin plate,0.001,0.005,0.003,0.001,0.000,0.000,0.985,0.005
Tubes and pipes,0.055,0.176,0.314,0.085,0.013,0.000,0.110,0.247
Railway track material,0.900,0.100,0.000,0.000,0.000,0.000,0.000,0.000
Heavy sections,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Light sections,0.336,0.354,0.145,0.002,0.001,0.000,0.060,0.101
Hot rolled bars in lengths,0.249,0.217,0.068,0.020,0.014,0.000,0.266,0.166
Bright bars,0.000,0.330,0.180,0.130,0.020,0.000,0.330,0.010
Reinforcing bar,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rods,0.470,0.095,0.083,0.029,0.016,0.000,0.207,0.099
