product,Construction,Mechanical Engineering,Automotive,Electrical,Other Transport,Tubes,Metal Goods,Other sectors
Hot rolled,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Plate,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Cold rolled,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Hot dipped galvanised,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Electro coated,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Organic coated,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Tin plate,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Tubes and pipes,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Railway track material,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Heavy sections,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Light sections,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Hot rolled bars in lengths,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Bright bars,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Reinforcing bar,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
Rods,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
