source,target,material,year,value
uk_production,uk_intermediate,Cold rolled,2016,22.7
uk_production,exports,Cold rolled,2016,8.5
imports,uk_intermediate,Cold rolled,2016,77.3
uk_intermediate,Construction,Cold rolled,2016,13.600000000000001
Construction,scrap,scrap Cold rolled,2016,0.136
Construction,products,Structural steelwork and building and civil engineering,2016,13.464
uk_intermediate,Mechanical Engineering,Cold rolled,2016,12.4
Mechanical Engineering,scrap,scrap Cold rolled,2016,0.12400000000000001
Mechanical Engineering,products,Mechanical engineering,2016,12.276
uk_intermediate,Automotive,Cold rolled,2016,24.5
Automotive,scrap,scrap Cold rolled,2016,0.245
Automotive,products,Vehicles,2016,24.255
uk_intermediate,Electrical,Cold rolled,2016,13.3
Electrical,scrap,scrap Cold rolled,2016,0.133
Electrical,products,Electrical engineering,2016,13.167
uk_intermediate,Other Transport,Cold rolled,2016,1.9
Other Transport,scrap,scrap Cold rolled,2016,0.019
Other Transport,products,Shipbuilding,2016,1.881
uk_intermediate,Tubes,Cold rolled,2016,7.5
Tubes,scrap,scrap Cold rolled,2016,0.075
Tubes,products,"Boilers, drums and other vessels",2016,7.425
uk_intermediate,Metal Goods,Cold rolled,2016,24.2
Metal Goods,scrap,scrap Cold rolled,2016,0.242
Metal Goods,products,Metal goods,2016,23.958
uk_intermediate,Other sectors,Cold rolled,2016,2.6
Other sectors,scrap,scrap Cold rolled,2016,0.026000000000000002
Other sectors,products,Other industries,2016,2.574
uk_production,uk_intermediate,Electro coated,2016,32.671511356201506
uk_production,exports,Electro coated,2016,22.32848864379849
imports,uk_intermediate,Electro coated,2016,91.15431348724181
uk_intermediate,Construction,Electro coated,2016,10.649020936536122
Construction,scrap,scrap Electro coated,2016,0.10649020936536122
Construction,products,Structural steelwork and building and civil engineering,2016,10.54253072717076
uk_intermediate,Mechanical Engineering,Electro coated,2016,3.467123095616412
Mechanical Engineering,scrap,scrap Electro coated,2016,0.034671230956164124
Mechanical Engineering,products,Mechanical engineering,2016,3.4324518646602478
uk_intermediate,Automotive,Electro coated,2016,77.88644382652582
Automotive,scrap,scrap Electro coated,2016,0.7788644382652582
Automotive,products,Vehicles,2016,77.10757938826056
uk_intermediate,Electrical,Electro coated,2016,8.543981914197587
Electrical,scrap,scrap Electro coated,2016,0.08543981914197588
Electrical,products,Electrical engineering,2016,8.458542095055611
uk_intermediate,Other Transport,Electro coated,2016,6.4389428918590506
Other Transport,scrap,scrap Electro coated,2016,0.06438942891859051
Other Transport,products,Shipbuilding,2016,6.37455346294046
uk_intermediate,Tubes,Electro coated,2016,0.6191291242172164
Tubes,scrap,scrap Electro coated,2016,0.006191291242172165
Tubes,products,"Boilers, drums and other vessels",2016,0.6129378329750442
uk_intermediate,Metal Goods,Electro coated,2016,13.620840732778762
Metal Goods,scrap,scrap Electro coated,2016,0.1362084073277876
Metal Goods,products,Metal goods,2016,13.484632325450974
uk_intermediate,Other sectors,Electro coated,2016,2.600342321712309
Other sectors,scrap,scrap Electro coated,2016,0.02600342321712309
Other sectors,products,Other industries,2016,2.5743388984951863
uk_production,uk_intermediate,Hot dipped galvanised,2016,474.6279558837275
uk_production,exports,Hot dipped galvanised,2016,324.3720441162725
imports,uk_intermediate,Hot dipped galvanised,2016,1324.223572296476
uk_intermediate,Construction,Hot dipped galvanised,2016,471.29910038321333
