year,product,product_family,production,exports,imports,delivered
1980,Cold rolled,flat,302.4,16.7,105.0,390.7
1980,Electro coated,flat,78.0,11.7,54.8,121.1
1980,Hot dipped galvanised,flat,381.0,56.9,267.6,591.7
1980,Hot rolled,flat,1113.8,204.1,959.4,1869.0
1980,Organic coated,flat,99.0,14.8,69.5,153.7
1980,Plate,flat,1131.0,160.9,750.7,1720.8
1980,Tin plate,flat,624.0,93.3,438.3,969.0
1980,Tubes and pipes,flat,1049.1,210.7,433.2,1271.6
1980,Bright bars,long,352.6,33.0,49.3,368.9
1980,Heavy sections,long,1314.0,292.6,159.6,1181.0
1980,Hot rolled bars in lengths,long,913.6,276.0,210.4,848.0
1980,Light sections,long,273.8,92.9,95.1,276.0
1980,Railway track material,long,161.0,35.9,19.6,144.7
1980,Reinforcing bar,long,781.0,218.6,159.4,721.9
1980,Rods,long,861.3,269.3,196.5,788.4
1980,Sheet piling and rolled accessories,long,-0.8,-0.2,-0.1,-0.7
1981,Cold rolled,flat,296.5,20.1,105.0,381.4
1981,Electro coated,flat,107.0,26.9,53.1,133.2
1981,Hot dipped galvanised,flat,595.0,149.6,295.4,740.8
1981,Hot rolled,flat,1532.2,477.1,942.1,1997.2
1981,Organic coated,flat,141.0,35.5,70.0,175.6
1981,Plate,flat,1654.3,370.3,750.7,2034.7
1981,Tin plate,flat,864.0,217.2,428.9,1075.7
1981,Tubes and pipes,flat,1287.7,359.4,433.2,1361.5
1981,Bright bars,long,333.1,48.4,49.3,334.0
1981,Heavy sections,long,1789.0,623.3,159.0,1324.7
1981,Hot rolled bars in lengths,long,836.3,307.7,210.4,739.0
1981,Light sections,long,253.2,89.1,95.1,259.2
1981,Railway track material,long,226.0,78.7,20.1,167.3
1981,Reinforcing bar,long,788.0,208.8,147.9,727.1
1981,Rods,long,961.7,293.7,208.0,876.0
1981,Sheet piling and rolled accessories,long,0.4,0.1,0.0,0.3
1982,Cold rolled,flat,286.9,27.0,83.8,343.7
1982,Electro coated,flat,183.0,41.2,67.4,209.2
1982,Hot dipped galvanised,flat,563.0,126.8,207.5,643.7
1982,Hot rolled,flat,1291.7,359.9,589.0,1520.8
1982,Organic coated,flat,183.0,41.2,67.4,209.2
1982,Plate,flat,1550.2,215.7,559.2,1893.7
1982,Tin plate,flat,911.0,205.2,335.8,1041.6
1982,Tubes and pipes,flat,1258.5,346.3,315.3,1227.5
1982,Bright bars,long,299.8,27.2,54.9,327.5
1982,Heavy sections,long,1570.0,516.3,155.5,1209.1
1982,Hot rolled bars in lengths,long,741.7,253.4,227.2,715.5
1982,Light sections,long,206.1,55.7,76.0,226.4
1982,Railway track material,long,221.0,72.7,21.9,170.2
1982,Reinforcing bar,long,723.0,193.9,184.8,713.9
1982,Rods,long,797.7,246.9,235.4,786.2
1982,Sheet piling and rolled accessories,long,-0.4,-0.1,-0.0,-0.3
1983,Cold rolled,flat,285.8,22.3,92.9,356.4
1983,Electro coated,flat,0.0,0.0,0.0,0.0
1983,Hot dipped galvanised,flat,0.0,0.0,0.0,0.0
1983,Hot rolled,flat,2573.4,701.7,928.3,2800.0
1983,Organic coated,flat,0.0,0.0,0.0,0.0
1983,Plate,flat,1398.4,337.9,526.1,1586.6
1983,Tin plate,flat,938.0,225.5,298.3,1010.8
1983,Tubes and pipes,flat,1207.4,323.1,257.9,1142.2
1983,Bright bars,long,292.0,30.2,47.2,309.0
1983,Heavy sections,long,1551.0,538.8,119.6,1131.8
1983,Hot rolled bars in lengths,long,642.1,185.8,177.9,634.2
1983,Light sections,long,224.8,73.5,86.3,237.6
1983,Railway track material,long,262.0,91.0,20.2,191.2
1983,Reinforcing bar,long,823.0,207.4,140.0,755.6
1983,Rods,long,864.2,252.8,170.7,782.1
1983,Sheet piling and rolled accessories,long,-6.8,-2.4,-0.5,-5.0
1984,Cold rolled,flat,314.7,26.3,102.7,391.1
1984,Electro coated,flat,0.0,0.0,0.0,0.0
1984,Hot dipped galvanised,flat,0.0,0.0,0.0,0.0
1984,Hot rolled,flat,2646.0,770.3,926.8,2802.5
1984,Organic coated,flat,0.0,0.0,0.0,0.0
1984,Plate,flat,1507.2,305.5,450.5,1652.2
1984,Tin plate,flat,967.0,246.6,296.7,1017.1
1984,Tubes and pipes,flat,1414.4,369.3,316.1,1361.2
1984,Bright bars,long,346.7,60.1,67.7,354.3
1984,Heavy sections,long,1417.0,472.6,136.0,1080.4
1984,Hot rolled bars in lengths,long,715.6,246.2,198.0,667.4
1984,Light sections,long,230.7,81.4,93.0,242.3
1984,Railway track material,long,232.0,77.4,22.3,176.9
1984,Reinforcing bar,long,811.0,212.5,117.6,716.1
1984,Rods,long,981.4,296.5,164.1,849.0
1984,Sheet piling and rolled accessories,long,-0.5,-0.2,-0.0,-0.4
1985,Cold rolled,flat,299.9,28.4,98.6,370.1
1985,Electro coated,flat,0.0,0.0,0.0,0.0
1985,Hot dipped galvanised,flat,0.0,0.0,0.0,0.0
1985,Hot rolled,flat,2710.8,849.3,1114.6,2976.1
1985,Organic coated,flat,0.0,0.0,0.0,0.0
1985,Plate,flat,1498.9,375.4,512.9,1636.4
1985,Tin plate,flat,910.0,253.7,333.0,989.3
1985,Tubes and pipes,flat,1357.3,347.1,271.4,1281.6
1985,Bright bars,long,318.5,52.4,74.9,341.0
1985,Heavy sections,long,1643.0,563.4,138.6,1218.2
1985,Hot rolled bars in lengths,long,758.8,273.8,163.5,648.5
1985,Light sections,long,242.8,100.7,65.6,207.7
1985,Railway track material,long,216.0,74.1,18.2,160.2
1985,Reinforcing bar,long,937.0,289.3,134.8,782.5
1985,Rods,long,974.1,342.4,159.6,791.3
1985,Sheet piling and rolled accessories,long,-0.1,-0.0,-0.0,-0.1
1986,Cold rolled,flat,302.2,33.0,110.3,379.5
1986,Electro coated,flat,0.0,0.0,0.0,0.0
1986,Hot dipped galvanised,flat,947.0,297.2,366.5,1016.3
1986,Hot rolled,flat,1869.6,680.9,839.7,2028.3
1986,Organic coated,flat,0.0,0.0,0.0,0.0
1986,Plate,flat,1439.5,391.2,637.6,1685.9
1986,Tin plate,flat,940.0,295.0,363.8,1008.8
1986,Tubes and pipes,flat,1209.3,295.6,333.5,1247.2
1986,Bright bars,long,307.3,54.3,66.7,319.7
1986,Heavy sections,long,1705.0,685.0,172.9,1192.9
1986,Hot rolled bars in lengths,long,724.6,265.1,170.5,630.0
1986,Light sections,long,245.5,103.1,77.1,219.5
1986,Railway track material,long,174.0,69.9,17.6,121.7
1986,Reinforcing bar,long,903.0,283.4,162.5,782.1
1986,Rods,long,981.8,345.9,198.4,834.3
1986,Sheet piling and rolled accessories,long,0.1,0.0,0.0,0.1
1987,Cold rolled,flat,328.8,34.2,117.0,411.6
1987,Electro coated,flat,0.0,0.0,0.0,0.0
1987,Hot dipped galvanised,flat,1105.0,361.2,525.6,1269.3
1987,Hot rolled,flat,2029.9,789.0,1147.9,2388.8
1987,Organic coated,flat,0.0,0.0,0.0,0.0
1987,Plate,flat,1565.8,479.1,609.6,1696.3
1987,Tin plate,flat,1074.0,351.1,510.8,1233.7
1987,Tubes and pipes,flat,1316.6,321.1,289.6,1285.1
1987,Bright bars,long,314.6,54.8,74.4,334.2
1987,Heavy sections,long,1945.0,840.6,204.8,1309.2
1987,Hot rolled bars in lengths,long,735.5,287.2,190.1,638.4
1987,Light sections,long,229.2,68.7,59.1,219.6
1987,Railway track material,long,237.0,102.4,25.0,159.5
1987,Reinforcing bar,long,950.0,266.6,171.2,854.6
1987,Rods,long,1047.8,337.2,216.6,927.2
1987,Sheet piling and rolled accessories,long,0.3,0.1,0.0,0.2
1988,Cold rolled,flat,393.9,38.3,65.6,421.2
1988,Electro coated,flat,200.0,60.5,84.7,224.3
1988,Hot dipped galvanised,flat,1246.0,376.7,527.9,1397.3
1988,Hot rolled,flat,2045.1,745.1,1044.2,2344.3
1988,Organic coated,flat,0.0,0.0,0.0,0.0
1988,Plate,flat,1924.9,554.2,549.8,1920.5
1988,Tin plate,flat,1018.0,307.7,431.3,1141.6
1988,Tubes and pipes,flat,1481.7,317.9,433.5,1597.3
1988,Bright bars,long,341.9,63.2,94.4,373.1
1988,Heavy sections,long,1874.0,740.9,242.6,1375.7
1988,Hot rolled bars in lengths,long,825.3,340.3,230.3,715.3
1988,Light sections,long,243.3,80.8,47.8,210.3
1988,Railway track material,long,236.0,93.3,30.6,173.2
1988,Reinforcing bar,long,1168.0,290.5,220.1,1097.6
1988,Rods,long,1182.9,338.1,256.2,1101.0
1988,Sheet piling and rolled accessories,long,336.4,133.0,43.5,247.0
1989,Cold rolled,flat,387.5,35.4,69.1,421.2
1989,Electro coated,flat,202.0,61.0,86.2,227.2
1989,Hot dipped galvanised,flat,1320.0,398.7,563.2,1484.5
1989,Hot rolled,flat,2094.8,739.1,1044.0,2399.7
1989,Organic coated,flat,0.0,0.0,0.0,0.0
1989,Plate,flat,2048.0,585.0,600.9,2063.9
1989,Tin plate,flat,961.0,290.3,410.0,1080.7
1989,Tubes and pipes,flat,1519.2,367.4,528.0,1679.8
1989,Bright bars,long,340.1,75.6,91.0,355.5
1989,Heavy sections,long,1926.0,717.4,261.6,1470.2
1989,Hot rolled bars in lengths,long,935.8,405.9,224.5,754.4
1989,Light sections,long,235.5,67.3,65.6,233.8
1989,Railway track material,long,242.0,90.1,32.9,184.7
1989,Reinforcing bar,long,702.0,192.8,132.9,642.1
1989,Rods,long,1757.7,530.5,365.6,1592.8
1989,Sheet piling and rolled accessories,long,314.4,117.1,42.7,240.0
1990,Cold rolled,flat,356.6,31.7,68.1,393.0
1990,Electro coated,flat,198.0,65.3,90.3,222.9
1990,Hot dipped galvanised,flat,1338.0,441.5,610.0,1506.5
1990,Hot rolled,flat,1405.2,596.9,824.6,1632.9
1990,Organic coated,flat,398.0,131.3,181.4,448.1
1990,Plate,flat,1901.7,680.0,653.8,1875.5
1990,Tin plate,flat,855.0,282.1,389.8,962.7
1990,Tubes and pipes,flat,1465.1,372.8,548.2,1640.5
1990,Bright bars,long,318.4,73.6,87.0,331.8
1990,Heavy sections,long,1913.0,945.3,204.0,1171.7
1990,Hot rolled bars in lengths,long,969.4,483.9,205.1,690.6
1990,Light sections,long,247.5,82.2,52.9,218.2
1990,Railway track material,long,232.0,114.6,24.7,142.1
1990,Reinforcing bar,long,681.0,209.4,130.9,602.5
1990,Rods,long,1737.4,586.8,366.9,1517.5
1990,Sheet piling and rolled accessories,long,390.3,193.1,41.7,238.9
1993,Cold rolled,flat,229.3,36.7,71.2,263.8
1993,Electro coated,flat,193.0,80.2,78.2,191.0
1993,Hot dipped galvanised,flat,1484.0,616.9,601.6,1468.7
1993,Hot rolled,flat,1291.7,657.7,641.4,1275.4
1993,Organic coated,flat,382.0,158.8,154.9,378.1
1993,Plate,flat,1901.0,897.6,800.8,1804.2
1993,Tin plate,flat,829.0,344.6,336.1,820.5
1993,Tubes and pipes,flat,1154.6,315.8,350.5,1189.3
1993,Bright bars,long,294.9,94.3,71.8,272.4
1993,Heavy sections,long,1877.0,1222.1,226.1,880.9
1993,Hot rolled bars in lengths,long,1038.0,540.9,218.3,715.4
1993,Light sections,long,254.6,125.7,35.5,164.4
1993,Railway track material,long,148.0,96.4,17.8,69.5
1993,Reinforcing bar,long,645.0,293.8,89.7,440.9
1993,Rods,long,1874.4,909.0,277.5,1242.9
1993,Sheet piling and rolled accessories,long,320.7,208.8,38.6,150.5
