year,UK steel production,Steel in UK final demand
1980,9.4384,8.906200000000002
1981,11.668700000000005,9.768899999999999
1982,10.789600000000002,9.890299999999998
1983,11.064799999999998,9.929
1984,11.5869,10.1395
1985,11.870700000000001,10.292999999999997
1986,11.751400000000006,10.284699999999999
1987,12.881800000000005,11.534199999999997
1988,14.521200000000004,13.700100000000003
1989,14.989500000000005,14.187900000000004
1990,14.409600000000005,12.436200000000001
1993,13.919899999999998,10.1424
1995,15.041200000000002,11.886099999999999
1996,15.491499999999997,11.660999999999998
1997,16.099200000000003,12.9719
1998,15.273300000000004,13.676199999999998
1999,14.231500000000006,13.9644
2000,13.407800000000002,14.1426
2001,11.750399999999999,14.6365
2002,11.175699999999999,17.235699999999998
2003,10.965700000000002,16.195100000000004
2004,11.7863,17.916500000000006
2005,10.795899999999998,19.68359999999999
2007,11.024300000000004,19.0515
2008,10.315299999999997,16.147299999999998
2009,7.2716,10.7395
2010,8.496400000000001,13.3288
2011,8.470200000000002,13.563199999999997
2012,7.4684,12.419599999999999
2013,8.065500000000002,12.951199999999998
2014,8.3318,14.961200000000002
2015,8.119000000000003,15.469700000000001
2016,6.937100000000002,15.609699999999997
